machine_id,machine_name,machine_type,installation_date,status,last_service_date,factory_id
50,PKG-004,"Packaging Machine",2025-11-06,Running,2025-11-06,2
51,CON-002,"Conveyor System",2015-07-20,Running,2025-08-08,2
52,CON-003,"Conveyor System",2017-11-23,Running,2025-10-15,2
53,CNC-015,"CNC Machine",2024-05-06,Running,2025-11-25,3
54,CNC-016,"CNC Machine",2016-12-15,Running,2025-11-13,3
55,CNC-017,"CNC Machine",2016-05-05,Running,2025-09-01,3
56,CNC-018,"CNC Machine",2024-03-01,Running,2025-07-09,3
57,CNC-019,"CNC Machine",2015-01-07,Running,2025-08-26,3
58,ROB-012,"Assembly Robot",2021-12-09,Running,2025-11-14,3
59,ROB-013,"Assembly Robot",2022-02-10,Running,2025-08-21,3
60,ROB-014,"Assembly Robot",2022-03-21,Running,2025-07-28,3
61,ROB-015,"Assembly Robot",2021-04-13,Running,2025-09-19,3
62,INJ-009,"Injection Molding Machine",2021-08-27,Running,2025-10-22,3
63,INJ-010,"Injection Molding Machine",2024-07-17,Running,2025-10-12,3
64,INJ-011,"Injection Molding Machine",2015-04-04,Running,2025-10-08,3
65,LAS-008,"Laser Cutter",2019-09-10,Running,2025-10-17,3
66,LAS-009,"Laser Cutter",2021-10-09,Running,2025-09-30,3
67,HYD-006,"Hydraulic Press",2013-10-03,Idle,2025-07-07,3
68,HYD-007,"Hydraulic Press",2025-04-27,"Under Maintenance",2025-12-12,3
69,PKG-005,"Packaging Machine",2013-08-16,Idle,2025-06-24,3
70,PKG-006,"Packaging Machine",2019-11-14,Running,2025-10-18,3
71,CON-004,"Conveyor System",2023-03-07,Running,2025-10-06,3
72,CON-005,"Conveyor System",2025-12-12,Running,2025-12-12,3
73,CNC-020,"CNC Machine",2020-04-15,"Under Maintenance",2025-12-19,4
74,CNC-021,"CNC Machine",2018-06-24,Running,2025-07-27,4
75,CNC-022,"CNC Machine",2015-02-28,Running,2025-07-09,4
76,CNC-023,"CNC Machine",2017-01-16,Running,2025-08-05,4
77,ROB-016,"Assembly Robot",2015-06-22,Running,2025-10-15,4
78,ROB-017,"Assembly Robot",2016-03-12,Idle,2025-02-16,4
79,ROB-018,"Assembly Robot",2024-11-04,Running,2025-09-20,4
80,INJ-012,"Injection Molding Machine",2023-03-24,Running,2025-08-27,4
81,INJ-013,"Injection Molding Machine",2020-09-20,Running,2025-11-19,4
82,LAS-010,"Laser Cutter",2020-10-13,Running,2025-09-21,4
83,LAS-011,"Laser Cutter",2024-08-25,Running,2025-10-08,4
84,HYD-008,"Hydraulic Press",2017-08-25,Idle,2025-06-11,4
85,HYD-009,"Hydraulic Press",2024-04-17,Running,2025-08-27,4
86,PKG-007,"Packaging Machine",2015-10-07,Running,2025-07-28,4
87,PKG-008,"Packaging Machine",2018-04-16,Running,2025-09-21,4
88,CON-006,"Conveyor System",2022-12-13,Running,2025-07-08,4
89,CNC-024,"CNC Machine",2022-12-02,Running,2025-09-14,5
90,CNC-025,"CNC Machine",2013-08-21,Retired,2024-10-25,5
91,ROB-019,"Assembly Robot",2021-03-13,Running,2025-08-18,5
92,ROB-020,"Assembly Robot",2016-12-14,Running,2025-10-15,5
93,INJ-014,"Injection Molding Machine",2016-11-03,Retired,2023-02-17,5
94,INJ-015,"Injection Molding Machine",2020-12-04,Running,2025-08-12,5
95,LAS-012,"Laser Cutter",2024-03-09,Running,2025-12-02,5
96,HYD-010,"Hydraulic Press",2025-02-09,Running,2025-07-21,5
97,PKG-009,"Packaging Machine",2018-11-22,Running,2025-08-18,5
98,PKG-010,"Packaging Machine",2024-04-11,Running,2025-10-31,5
99,CON-007,"Conveyor System",2019-04-10,Idle,2025-08-07,5
100,CON-008,"Conveyor System",2016-01-22,Running,2025-10-25,5
